video_filename,video_id,play_outcome,runner_base,date,teams,batter,pitcher,exit_velocity,launch_angle,hit_distance,hangtime,has_statcast,video_url,download_status,notes
duoduo_sac_fly_001.mp4,duoduo_sac_fly_001,safe,3B,2025/11/1,LAD @ TOR,Hernandez,Scherzer,109.8,16,305,NA,yes,https://www.mlb.com/video/teoscar-hernandez-out-on-a-sacrifice-fly-to-center-fielder-daulton-varsho?q=HitResult%20%3D%20%5B%22Sacrifice%22%5D%20AND%20ExitVelocity%20%3D%20%7B%7B%2050%2C%20264%20%7D%7D%20Order%20By%20Timestamp%20DESC&cp=MIXED&p=0,success,NA
duoduo_sac_fly_002.mp4,duoduo_sac_fly_002,safe,3B,2025/11/1,LAD@TOR,Edman,Bassitt,78.6,39,273,NA,yes,https://www.mlb.com/video/tommy-edman-out-on-a-sacrifice-fly-to-center-fielder-daulton-varsho-mooki?q=HitResult%20%3D%20%5B%22Sacrifice%22%5D%20AND%20ExitVelocity%20%3D%20%7B%7B%2050%2C%20264%20%7D%7D%20Order%20By%20Timestamp%20DESC&cp=MIXED&p=0,success,NA
duoduo_sac_fly_003.mp4,duoduo_sac_fly_003,safe,3B,2025/10/29,TOR@LAD,Clement,Snell,96.5,18,310,NA,yes,https://www.mlb.com/video/ernie-clement-out-on-a-sacrifice-fly-to-center-fielder-enrique-hernandez?q=ExitVelocity%20%3D%20%7B%7B%2050%2C%20264%20%7D%7D%20AND%20HitResult%20%3D%20%5B%22Sacrifice%22%5D%20Order%20By%20Timestamp%20DESC&cp=MIXED&p=0,success,NA
duoduo_sac_fly_004.mp4,duoduo_sac_fly_004,safe,3B,2025/10/13,SEA@TOR,Crawford,Bassitt,92.1,20,293,NA,yes,https://www.mlb.com/video/j-p-crawford-out-on-a-sacrifice-fly-to-center-fielder-daulton-varsho-euge?q=ExitVelocity%20%3D%20%7B%7B%2050%2C%20264%20%7D%7D%20AND%20HitResult%20%3D%20%5B%22Sacrifice%22%5D%20Order%20By%20Timestamp%20DESC&cp=MIXED&p=0,success,NA
duoduo_sac_fly_005.mp4,duoduo_sac_fly_005,safe,3B,2025/10/7,TOR@NYY,Stanton,Bieber,103.8,25,405,NA,yes,https://www.mlb.com/video/giancarlo-stanton-out-on-a-sacrifice-fly-to-center-fielder-daulton-varsho?q=ExitVelocity%20%3D%20%7B%7B%2050%2C%20264%20%7D%7D%20AND%20HitResult%20%3D%20%5B%22Sacrifice%22%5D%20Order%20By%20Timestamp%20DESC&cp=MIXED&p=0,success,NA
duoduo_sac_fly_006.mp4,duoduo_sac_fly_006,safe,3B,2025/10/25,LAD@TOR,Kirk,Yamamoto,102.1,39,338,NA,yes,https://www.mlb.com/video/yoshinobu-yamamoto-in-play-run-s-to-alejandro-kirk?q=ExitVelocity%20%3D%20%7B%7B%2050%2C%20264%20%7D%7D%20AND%20HitResult%20%3D%20%5B%22Sacrifice%22%5D%20Order%20By%20Timestamp%20DESC&cp=MIXED&p=0,success,NA
duoduo_sac_fly_007.mp4,duoduo_sac_fly_007,safe,3B,2025/10/8,MIL@CHC,Frelick,Taillon,82.9,37,273,NA,yes,https://www.mlb.com/video/sal-frelick-s-sac-fly?q=ExitVelocity%20%3D%20%7B%7B%2050%2C%20264%20%7D%7D%20AND%20HitResult%20%3D%20%5B%22Sacrifice%22%5D%20Order%20By%20Timestamp%20DESC&cp=MIXED&p=0,success,NA
duoduo_sac_fly_008.mp4,duoduo_sac_fly_008,safe,3B,2025/9/26,DET@BOS,Lowe,Finnegan,96.6,39,347,NA,yes,https://www.mlb.com/video/nathaniel-lowe-s-sacrifice-fly?q=HitResult%20%3D%20%5B%22Sacrifice%22%5D%20AND%20ExitVelocity%20%3D%20%7B%7B%2050%2C%20264%20%7D%7D%20Order%20By%20Timestamp%20DESC&cp=MIXED&p=0,success,NA
duoduo_sac_fly_009.mp4,duoduo_sac_fly_009,safe,3B,2025/9/26,MIN@PHI,Bohm,Ryan,94,23,289,NA,yes,https://www.mlb.com/video/joe-ryan-in-play-run-s-to-alec-bohm?q=HitResult%20%3D%20%5B%22Sacrifice%22%5D%20AND%20ExitVelocity%20%3D%20%7B%7B%2050%2C%20264%20%7D%7D%20Order%20By%20Timestamp%20DESC&cp=MIXED&p=0,success,NA
duoduo_sac_fly_010.mp4,duoduo_sac_fly_010,safe,3B,2025/9/25,CWS@NYY,Julks,Rod贸n,97.6,25,374,NA,yes,https://www.mlb.com/video/corey-julks-out-on-a-sacrifice-fly-to-center-fielder-trent-grisham-miguel?q=HitResult%20%3D%20%5B%22Sacrifice%22%5D%20AND%20ExitVelocity%20%3D%20%7B%7B%2050%2C%20264%20%7D%7D%20Order%20By%20Timestamp%20DESC&cp=MIXED&p=0,success,NA
